year,Age_1,Age_2,Age_3,Age_4,Age_5,Age_6,Age_7+
1971,4769,1118,1381,260,131,47,30
1972,928,2296,390,540,115,72,46
1973,2810,553,947,194,234,50,32
1974,889,1428,184,402,96,118,113
1975,6031,532,802,102,204,41,67
1976,1986,3093,255,433,24,67,21
1977,2871,1151,926,136,237,9,78
1978,2741,1701,450,480,91,132,77
1979,6630,1491,765,222,266,53,88
1980,12254,3634,734,338,110,116,29
1981,5179,6872,1506,297,105,40,24
1982,2117,2860,2189,414,93,46,12
1983,6923,1209,1003,841,167,41,21
1984,6696,3153,396,276,272,62,14
1985,5892,3443,1177,178,126,129,41
1986,5000,2964,1338,466,82,63,34
1987,25361,2493,967,409,134,37,28
1988,12239,13110,950,335,97,51,19
1989,3648,5919,4547,427,140,36,21
1990,4042,1670,1900,1221,196,41,31
1991,11365,2146,459,547,360,84,24
1992,11743,5745,625,142,129,101,32
1993,3700,5927,1812,179,53,39,32
1994,13716,2005,2128,539,68,20,33
1995,9675,7182,812,540,187,29,11
1996,7430,5161,2209,333,165,81,7
1997,10001,3975,1702,600,137,45,12
1998,5018,5077,1195,438,199,65,14
1999,2352,2512,1394,330,113,68,26
2000,10657,1025,788,378,114,36,29
2001,8841,5077,323,222,141,50,50
2002,2185,4455,1541,122,84,49,44
2003,1300,1147,1363,379,37,36,28
2004,2931,700,331,296,100,16,14
2005,4166,1492,236,94,79,26,5
2006,4585,2268,479,55,26,22,8
2007,3865,2463,742,140,20,8,8
2008,1610,1936,668,196,54,8,8
2009,3004,870,699,224,61,21,4
2010,13533,1676,368,237,87,15,3
2011,4897,7697,798,167,102,31,7
2012,830,1762,2702,389,82,51,25
2013,1461,470,812,835,106,41,11
2014,7711,790,163,227,243,25,3
2015,537,4043,280,51,76,74,24
2016,3385,294,1535,108,21,31,55
