"age","year","unit","season","area","iter","data"
1,2000,1,"all","unique",1,0.561
1,2001,1,"all","unique",1,0.63
1,2002,1,"all","unique",1,0.352
1,2003,1,"all","unique",1,0.482
1,2004,1,"all","unique",1,0.591
1,2005,1,"all","unique",1,0.588
1,2006,1,"all","unique",1,0.703
1,2007,1,"all","unique",1,0.722
1,2008,1,"all","unique",1,0.869
1,2009,1,"all","unique",1,0.938
1,2010,1,"all","unique",1,0.819
1,2011,1,"all","unique",1,0.374
1,2012,1,"all","unique",1,1.005
1,2013,1,"all","unique",1,0.497
1,2014,1,"all","unique",1,0.464
1,2015,1,"all","unique",1,1.161
1,2016,1,"all","unique",1,0.647
2,2000,1,"all","unique",1,1.696
2,2001,1,"all","unique",1,1.455
2,2002,1,"all","unique",1,1.257
2,2003,1,"all","unique",1,1.327
2,2004,1,"all","unique",1,1.258
2,2005,1,"all","unique",1,1.688
2,2006,1,"all","unique",1,1.216
2,2007,1,"all","unique",1,1.399
2,2008,1,"all","unique",1,1.449
2,2009,1,"all","unique",1,1.629
2,2010,1,"all","unique",1,1.424
2,2011,1,"all","unique",1,1.214
2,2012,1,"all","unique",1,1.224
2,2013,1,"all","unique",1,1.377
2,2014,1,"all","unique",1,1.654
2,2015,1,"all","unique",1,1.309
2,2016,1,"all","unique",1,1.31
3,2000,1,"all","unique",1,4.223
3,2001,1,"all","unique",1,4.904
3,2002,1,"all","unique",1,4.452
3,2003,1,"all","unique",1,4.111
3,2004,1,"all","unique",1,4.053
3,2005,1,"all","unique",1,4.075
3,2006,1,"all","unique",1,4.233
3,2007,1,"all","unique",1,3.794
3,2008,1,"all","unique",1,4.188
3,2009,1,"all","unique",1,3.865
3,2010,1,"all","unique",1,4.373
3,2011,1,"all","unique",1,4.198
3,2012,1,"all","unique",1,3.534
3,2013,1,"all","unique",1,3.747
3,2014,1,"all","unique",1,3.788
3,2015,1,"all","unique",1,4.079
3,2016,1,"all","unique",1,3.683
4,2000,1,"all","unique",1,6.627
4,2001,1,"all","unique",1,7.872
4,2002,1,"all","unique",1,7.046
4,2003,1,"all","unique",1,6.601
4,2004,1,"all","unique",1,6.759
4,2005,1,"all","unique",1,5.945
4,2006,1,"all","unique",1,6.819
4,2007,1,"all","unique",1,6.99
4,2008,1,"all","unique",1,6.896
4,2009,1,"all","unique",1,6.557
4,2010,1,"all","unique",1,6.984
4,2011,1,"all","unique",1,7.239
4,2012,1,"all","unique",1,7.333
4,2013,1,"all","unique",1,6.805
4,2014,1,"all","unique",1,6.53
4,2015,1,"all","unique",1,8.517
4,2016,1,"all","unique",1,6.7
5,2000,1,"all","unique",1,9.326
5,2001,1,"all","unique",1,10.192
5,2002,1,"all","unique",1,9.4
5,2003,1,"all","unique",1,9.183
5,2004,1,"all","unique",1,9.372
5,2005,1,"all","unique",1,9.018
5,2006,1,"all","unique",1,8.895
5,2007,1,"all","unique",1,9.809
5,2008,1,"all","unique",1,8.881
5,2009,1,"all","unique",1,8.985
5,2010,1,"all","unique",1,9.891
5,2011,1,"all","unique",1,9.404
5,2012,1,"all","unique",1,10.404
5,2013,1,"all","unique",1,8.491
5,2014,1,"all","unique",1,9.074
5,2015,1,"all","unique",1,10.105
5,2016,1,"all","unique",1,10.573
6,2000,1,"all","unique",1,10.505
6,2001,1,"all","unique",1,11.613
6,2002,1,"all","unique",1,10.614
6,2003,1,"all","unique",1,10.635
6,2004,1,"all","unique",1,10.158
6,2005,1,"all","unique",1,11.333
6,2006,1,"all","unique",1,11.487
6,2007,1,"all","unique",1,12.273
6,2008,1,"all","unique",1,11.543
6,2009,1,"all","unique",1,10.567
6,2010,1,"all","unique",1,11.663
6,2011,1,"all","unique",1,11.039
6,2012,1,"all","unique",1,11.702
6,2013,1,"all","unique",1,9.945
6,2014,1,"all","unique",1,10.584
6,2015,1,"all","unique",1,10.661
6,2016,1,"all","unique",1,11.453
7,2000,1,"all","unique",1,11.115
7,2001,1,"all","unique",1,13.174
7,2002,1,"all","unique",1,12.637
7,2003,1,"all","unique",1,12.047
7,2004,1,"all","unique",1,11.68
7,2005,1,"all","unique",1,11.487
7,2006,1,"all","unique",1,11.411
7,2007,1,"all","unique",1,15.042
7,2008,1,"all","unique",1,13.624
7,2009,1,"all","unique",1,12.981
7,2010,1,"all","unique",1,12.575
7,2011,1,"all","unique",1,12.785
7,2012,1,"all","unique",1,13.727
7,2013,1,"all","unique",1,9.897
7,2014,1,"all","unique",1,11.611
7,2015,1,"all","unique",1,12.288
7,2016,1,"all","unique",1,12.928
