"year","fleets","country","nominal_effort"
2003,"IRL_DTS_O10M","IRL",11364535
2004,"IRL_DTS_O10M","IRL",10561646
2005,"IRL_DTS_O10M","IRL",11360087
2006,"IRL_DTS_O10M","IRL",9664596
2007,"IRL_DTS_O10M","IRL",10088334
2008,"IRL_DTS_O10M","IRL",8478275
2009,"IRL_DTS_O10M","IRL",7664002
2010,"IRL_DTS_O10M","IRL",8601661
2011,"IRL_DTS_O10M","IRL",8170718
2012,"IRL_DTS_O10M","IRL",8617876
2013,"IRL_DTS_O10M","IRL",9289121
2014,"IRL_DTS_O10M","IRL",9918193
2015,"IRL_DTS_O10M","IRL",9552944
2016,"IRL_DTS_O10M","IRL",10360649
2003,"GBR_DTS_O10M","GBR",5924267.73
2004,"GBR_DTS_O10M","GBR",5898159.72
2005,"GBR_DTS_O10M","GBR",5572522.71
2006,"GBR_DTS_O10M","GBR",5512048.46
2007,"GBR_DTS_O10M","GBR",5495549.65
2008,"GBR_DTS_O10M","GBR",4878365.77
2009,"GBR_DTS_O10M","GBR",4650401.11
2010,"GBR_DTS_O10M","GBR",4915809.3
2011,"GBR_DTS_O10M","GBR",4770364.87
2012,"GBR_DTS_O10M","GBR",4039092.37
2013,"GBR_DTS_O10M","GBR",4000396.84
2014,"GBR_DTS_O10M","GBR",3904268.68
2015,"GBR_DTS_O10M","GBR",4127552.4
2016,"GBR_DTS_O10M","GBR",4579131.08
2003,"FRA_DTS_O10M","FRA",18250983
2004,"FRA_DTS_O10M","FRA",18709125
2005,"FRA_DTS_O10M","FRA",18907397
2006,"FRA_DTS_O10M","FRA",18779122
2007,"FRA_DTS_O10M","FRA",18206051
2008,"FRA_DTS_O10M","FRA",13652798
2009,"FRA_DTS_O10M","FRA",17789657.75
2010,"FRA_DTS_O10M","FRA",16266208.29
2011,"FRA_DTS_O10M","FRA",16329739.33
2012,"FRA_DTS_O10M","FRA",17626761.41
2013,"FRA_DTS_O10M","FRA",17367018.11
2014,"FRA_DTS_O10M","FRA",16607009.97
2015,"FRA_DTS_O10M","FRA",17110451.04
2016,"FRA_DTS_O10M","FRA",16865690.02
2003,"OTH_DTS_O10M","OTH",36589
2004,"OTH_DTS_O10M","OTH",183720
2005,"OTH_DTS_O10M","OTH",297480
2006,"OTH_DTS_O10M","OTH",587181
2007,"OTH_DTS_O10M","OTH",578550
2008,"OTH_DTS_O10M","OTH",558315
2009,"OTH_DTS_O10M","OTH",685229
2010,"OTH_DTS_O10M","OTH",10683141.57
2011,"OTH_DTS_O10M","OTH",9257062.2
2012,"OTH_DTS_O10M","OTH",4477743
2013,"OTH_DTS_O10M","OTH",3979295.09
2014,"OTH_DTS_O10M","OTH",2715613.63
2015,"OTH_DTS_O10M","OTH",5693957.89
2016,"OTH_DTS_O10M","OTH",1680180.99
