year,Age_0,Age_1 ,Age_2,Age_3,Age_4,Age_5 ,Age_6,Age_7,Age_8
1993,110936,49973,11947,2791,794,252,256,225,75
1994,381728,41221,16376,2258,570,174,57,60,71
1995,528864,141841,13693,3210,479,130,41,14,32
1996,149612,196514,50740,3277,835,134,37,12,14
1997,75711,55592,70690,12328,865,236,39,11,8
1998,158254,28132,21071,19774,3758,283,80,14,7
1999,419100,58803,10420,5538,5657,1153,89,26,7
2000,398204,155728,23690,3435,1997,2187,459,37,14
2001,449757,147963,59807,6865,1086,677,764,165,18
2002,794417,167119,56052,16705,2090,354,228,265,64
2003,216734,295187,51665,9054,2907,390,68,45,66
2004,279581,80533,113749,15110,2888,995,138,25,41
2005,269409,103886,29589,29257,4228,867,308,44,22
2006,199665,100106,37732,7378,7932,1229,260,95,21
2007,703294,74191,40439,12531,2680,3090,493,107,48
2008,367760,261328,31179,14939,5074,1164,1383,228,73
2009,1738552,136651,97773,8421,4394,1601,378,463,102
2010,215775,646006,54164,30850,2903,1625,610,149,225
2011,56642,80177,253350,16609,10329,1042,601,233,146
2012,40546,21047,33084,89097,6396,4266,444,264,169
2013,530150,15066,8315,10349,30444,2344,1611,173,171
2014,119004,196992,6116,2798,3810,12020,954,675,147
2015,450962,44219,79079,1997,999,1459,4742,388,339
2016,44344,167567,17807,26042,719,386,581,1945,304
