"param","year","unit","season","area","iter","data"
"a",2000,"unique",1,"unique",1,NA
"b",2000,"unique",1,"unique",1,NA
"a",2001,"unique",1,"unique",1,NA
"b",2001,"unique",1,"unique",1,NA
"a",2002,"unique",1,"unique",1,NA
"b",2002,"unique",1,"unique",1,NA
"a",2003,"unique",1,"unique",1,NA
"b",2003,"unique",1,"unique",1,NA
"a",2004,"unique",1,"unique",1,NA
"b",2004,"unique",1,"unique",1,NA
"a",2005,"unique",1,"unique",1,NA
"b",2005,"unique",1,"unique",1,NA
"a",2006,"unique",1,"unique",1,NA
"b",2006,"unique",1,"unique",1,NA
"a",2007,"unique",1,"unique",1,NA
"b",2007,"unique",1,"unique",1,NA
"a",2008,"unique",1,"unique",1,NA
"b",2008,"unique",1,"unique",1,NA
"a",2009,"unique",1,"unique",1,NA
"b",2009,"unique",1,"unique",1,NA
"a",2010,"unique",1,"unique",1,NA
"b",2010,"unique",1,"unique",1,NA
"a",2011,"unique",1,"unique",1,NA
"b",2011,"unique",1,"unique",1,NA
"a",2012,"unique",1,"unique",1,NA
"b",2012,"unique",1,"unique",1,NA
"a",2013,"unique",1,"unique",1,NA
"b",2013,"unique",1,"unique",1,NA
"a",2014,"unique",1,"unique",1,NA
"b",2014,"unique",1,"unique",1,NA
"a",2015,"unique",1,"unique",1,NA
"b",2015,"unique",1,"unique",1,NA
"a",2016,"unique",1,"unique",1,NA
"b",2016,"unique",1,"unique",1,NA
"a",2017,"unique",1,"unique",1,562443.298684951
"b",2017,"unique",1,"unique",1,13911.4613008076
"a",2018,"unique",1,"unique",1,562443.298684951
"b",2018,"unique",1,"unique",1,13911.4613008076
"a",2019,"unique",1,"unique",1,562443.298684951
"b",2019,"unique",1,"unique",1,13911.4613008076
"a",2020,"unique",1,"unique",1,562443.298684951
"b",2020,"unique",1,"unique",1,13911.4613008076
"a",2021,"unique",1,"unique",1,562443.298684951
"b",2021,"unique",1,"unique",1,13911.4613008076
"a",2022,"unique",1,"unique",1,562443.298684951
"b",2022,"unique",1,"unique",1,13911.4613008076
"a",2023,"unique",1,"unique",1,562443.298684951
"b",2023,"unique",1,"unique",1,13911.4613008076
"a",2024,"unique",1,"unique",1,562443.298684951
"b",2024,"unique",1,"unique",1,13911.4613008076
"a",2025,"unique",1,"unique",1,562443.298684951
"b",2025,"unique",1,"unique",1,13911.4613008076
"a",2026,"unique",1,"unique",1,562443.298684951
"b",2026,"unique",1,"unique",1,13911.4613008076
"a",2027,"unique",1,"unique",1,562443.298684951
"b",2027,"unique",1,"unique",1,13911.4613008076
"a",2028,"unique",1,"unique",1,562443.298684951
"b",2028,"unique",1,"unique",1,13911.4613008076
"a",2029,"unique",1,"unique",1,562443.298684951
"b",2029,"unique",1,"unique",1,13911.4613008076
"a",2030,"unique",1,"unique",1,562443.298684951
"b",2030,"unique",1,"unique",1,13911.4613008076
